fileName,deviceName,startDateTime,modifiedOn,message,status,Root_cause_of_failure,Action_taken_to_solve,Exception_Type
assingment,DESKTOP-56OTK9I,2021-10-04T10:14:29.725917800Z,2021-10-04T10:15:25.193371Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:12:28.784477800Z,2021-10-04T10:13:09.133387600Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:10:00.143231900Z,2021-10-04T10:10:40.890156600Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:06:42.504856300Z,2021-10-04T10:07:22.961467700Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:04:48.590007300Z,2021-10-04T10:05:29.969092700Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:02:51.891488400Z,2021-10-04T10:03:47.998723800Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T09:46:17.002989100Z,2021-10-06T09:46:21.804528Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to set the value in the specified cell because it is in the header row and Contains header is enabled.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T09:45:47.776442800Z,2021-10-06T09:45:53.831045500Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    Unable to set the value in the specified cell because it is in the header row and Contains header is enabled.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T05:28:36.885924800Z,2021-10-01T05:29:10.730465600Z,"{message:There was a problem at line 16\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T05:30:45.634261400Z,2021-10-01T05:30:47.890699400Z,"{message:There was a problem at line 16\n,details:This may be due to the following reason:\n\n    Unable to find the 'company portal' executable file.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T04:41:45.276797900Z,2021-10-01T04:42:17.717949800Z,"{message:There was a problem at line 17\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
supply chain management,DESKTOP-56OTK9I,2021-09-30T12:02:01.076845200Z,2021-09-30T12:02:39.440004200Z,"{message:There was a problem at line 17\n,details:This may be due to the following reason:\n\n    Unable to find COMBOBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T11:41:16.749152Z,2021-09-28T11:41:56.852013Z,"{message:There was a problem at line 17\n,details:This may be due to the following reason:\n\n    Unable to find TEXTBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T11:39:07.290384400Z,2021-09-28T11:40:05.897987Z,"{message:There was a problem at line 17\n,details:This may be due to the following reason:\n\n    Unable to find TEXTBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T11:36:14.372406100Z,2021-09-28T11:36:58.409039600Z,"{message:There was a problem at line 17\n,details:This may be due to the following reason:\n\n    Unable to find TEXTBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T08:55:04.562376Z,2021-10-05T08:56:02.356600100Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T08:53:49.870381300Z,2021-10-05T08:54:40.202917300Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T08:52:32.445961200Z,2021-10-05T08:53:31.007203800Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T08:51:14.442829700Z,2021-10-05T08:51:56.933523900Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T07:50:54.175227Z,2021-10-05T07:51:50.515296Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T07:47:29.187697700Z,2021-10-05T07:48:24.366908600Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T07:46:01.324654800Z,2021-10-05T07:46:57.056036500Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T07:44:09.944555800Z,2021-10-05T07:45:05.497705600Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:45:01.677776100Z,2021-10-04T10:45:42.781182800Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform DOUBLECLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T08:15:38.074314400Z,2021-10-04T08:16:17.878689100Z,"{message:There was a problem at line 19\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
TwilioIntegration,DESKTOP-MOK7P83,2021-10-13T08:11:39.687311800Z,2021-10-13T08:11:42.922058500Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    AccountSid SKb19faee1088ee68f95574fbd99f242cf is invalid\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
username,DESKTOP-56OTK9I,2021-10-04T07:47:50.040014400Z,2021-10-04T07:48:22.241171300Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '*Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
username,DESKTOP-56OTK9I,2021-10-04T07:45:57.774424Z,2021-10-04T07:46:29.570906300Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T06:15:30.221875200Z,2021-10-01T06:16:03.139757100Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T05:54:19.095846800Z,2021-10-01T05:54:52.090355900Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T05:49:15.391491300Z,2021-10-01T05:49:49.120294800Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T05:47:53.641503Z,2021-10-01T05:48:27.288958800Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T05:47:01.293623200Z,2021-10-01T05:47:34.484032400Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
323321231,DESKTOP-56OTK9I,2021-10-01T05:45:10.620263500Z,2021-10-01T05:45:43.806129100Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Search' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
TwilioIntegration,DESKTOP-MOK7P83,2021-10-13T08:12:22.793701700Z,2021-10-13T08:12:26.489092300Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    The number  is unverified. Trial accounts cannot send messages to unverified numbers; verify  at twilio.com/user/account/phone-numbers/verified, or purchase a Twilio number to send messages to unverified numbers.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
employee data migration,DESKTOP-56OTK9I,2021-09-29T10:28:01.076098500Z,2021-09-29T10:28:34.481609100Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Unable to find TEXTBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
username,DESKTOP-56OTK9I,2021-10-04T07:47:01.358369800Z,2021-10-04T07:47:18.415611Z,"{message:There was a problem at line 2\n,details:This may be due to the following reason:\n\n    Unable to perform SETTEXT action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
employee data migration,DESKTOP-56OTK9I,2021-09-29T12:41:38.360791300Z,2021-09-29T12:41:58.398175300Z,"{message:There was a problem at line 20\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
assingment,DESKTOP-56OTK9I,2021-10-04T12:25:12.077661300Z,2021-10-04T12:25:34.128211300Z,"{message:There was a problem at line 20\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:55:00.344773200Z,2021-10-04T10:55:43.045464Z,"{message:There was a problem at line 20\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:46:48.321403300Z,2021-10-04T10:47:28.038885100Z,"{message:There was a problem at line 20\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T12:25:56.070458300Z,2021-10-04T12:26:17.123771Z,"{message:There was a problem at line 21\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T13:00:46.925502Z,2021-09-28T13:00:53.146686900Z,"{message:There was a problem at line 21\n,details:This may be due to the following reason:\n\n    The web page took too long to load. Increase wait time and try again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
supply chain management,DESKTOP-56OTK9I,2021-10-04T10:40:26.755938700Z,2021-10-04T10:41:11.603837400Z,"{message:There was a problem at line 29\n,details:This may be due to the following reason:\n\n    class com.automationanywhere.botcommand.data.impl.StringValue cannot be cast to class com.automationanywhere.botcommand.data.impl.WindowValue (com.automationanywhere.botcommand.data.impl.StringValue and com.automationanywhere.botcommand.data.impl.WindowValue are in unnamed module of loader java.net.URLClassLoader @65b3fac7)\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
supply chain management,DESKTOP-56OTK9I,2021-10-04T10:38:41.825024700Z,2021-10-04T10:39:31.454046400Z,"{message:There was a problem at line 29\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'record', index '1' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
AuditAPI,DESKTOP-MOK7P83,2021-10-13T06:44:41.594835300Z,2021-10-13T06:44:44.738472100Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    400 Bad Request. Could not process the request for URI https://atosrpatraining.uksouth.cloudapp.azure.com/v2/activity/list due to improper input supplied or other error\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
AuditAPI,DESKTOP-MOK7P83,2021-10-19T10:22:00.880998200Z,2021-10-19T10:22:12.414162700Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
Employee Data Migration,DESKTOP-MOK7P83,2021-10-22T12:29:36.846461800Z,2021-10-22T12:30:20.570821200Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Automation Anywhere - PO Tracking Login - Google Chrome' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
123,DESKTOP-56OTK9I,2021-09-29T06:30:48.706297400Z,2021-09-29T06:31:21.258365400Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Test,DESKTOP-MOK7P83,2021-10-25T10:27:17.928950100Z,2021-10-25T10:28:14.045670400Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Field 'content' must not be null.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:30:41.584777Z,2021-10-06T06:30:44.442396800Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '0' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:31:19.815751500Z,2021-10-06T06:31:22.375230Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '1' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:33:21.628357300Z,2021-10-06T06:33:24.540045200Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '3' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:32:44.572617300Z,2021-10-06T06:32:47.491669500Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '4' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:32:16.420506500Z,2021-10-06T06:32:19.293121400Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '4' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
excel commands,DESKTOP-56OTK9I,2021-10-06T06:31:50.254256200Z,2021-10-06T06:31:53.358702200Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'list', index '4' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
AuditAPI,DESKTOP-MOK7P83,2021-11-03T08:10:27.943758100Z,2021-11-03T08:10:30.166625300Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Certificate Error,Get the required certificates and reran the bot,System exception
AuditAPI,DESKTOP-MOK7P83,2021-11-03T08:08:45.199822700Z,2021-11-03T08:08:47.507852300Z,"{message:There was a problem at line 3\n,details:This may be due to the following reason:\n\n    PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Certificate Error,Get the required certificates and reran the bot,System exception
